NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
hlzu1,Little Bear , Hyrum Reservoir,1,1,19.12,65,,M,M,16010203,UT,SLC,4680,BEAR,27
przu1,Little Bear , Paradise,1,1,20.16,50,5.58,9.7,9.5,16010203,UT,SLC,4740,BEAR,26
lbza3,Little Colorado , Zion Res  Blo,1,1,20.15,0,3.59,,26.3,15020002,AZ,FGZ,5530,LITCOL,7
lcca3,Little Colorado , Cameron  Nr,1,1,20.16,0,1.68,,23.1,15020016,AZ,FGZ,3979,LITCOL,29
lcja3,Little Colorado , Joseph City  Nr,1,1,20.15,0,2.07,9,9,15020008,AZ,FGZ,5031,LITCOL,18
lcla3,Little Colorado , Lyman Lk  Abv  St. Johns  Nr,1,1,20.15,33,2.39,12,9.3,15020001,AZ,FGZ,6010,LITCOL,3
lcwa3,Little Colorado , Winslow  Nr,1,1,20.15,4,10.5,19,17,15020008,AZ,FGZ,4863,LITCOL,22
lcza3,Little Colorado , Zion Res  Abv  St. Johns  Nr,1,1,20.15,0,1.07,,8.9,15020002,AZ,FGZ,5560,LITCOL,6
lhba3,Little Colorado , Holbrook,1,1,20.15,0,5.44,,M,15020008,AZ,FGZ,5063,LITCOL,17
lyma3,Little Colorado , Lyman Lake  St. Johns  Nr,1,1,,,,,10,15020002,AZ,FGZ,5980,LITCOL,4
wdra3,Little Colorado , Woodruff,1,1,20.15,0,4.84,20.5,20.5,15020002,AZ,FGZ,5130,LITCOL,15
lcju1,Little Cottonwood Ck , Jordan River,1,1,20.16,4,0.29,5.7,5.2,16020204,UT,SLC,4255,SIXCKS,3
lctu1,Little Cottonwood Ck , Salt Lake City  Nr,1,1,20.12,14,,4.9,4.3,16020204,UT,SLC,5080,SIXCKS,1
lcwu1,Little Cottonwood Ck , Crestwood Park,1,1,20.15,e3,,3.4,3.2,16020204,UT,SLC,4526,SIXCKS,2
lnac2,Little Navajo , Oso Div Dam bl chromo nr,1,1,20.15,e2,e0.23,,15,14080101,CO,GJT,7756,SANJUAN,4
lilc2,Little Snake , Lily  Nr,1,1,20.15,e117,e1.46,,8.5,14050003,CO,GJT,5685,WHYAM,16
lsdw4,Little Snake , Dixon  Nr,1,1,20.16,e90,e2.86,9.5,8.5,14050003,WY,CYS,6340,WHYAM,15
lsrc2,Little Snake , Slater  Nr,1,1,20.15,e36,e3.29,,7.5,14050003,CO,GJT,6831,WHYAM,13
lgnu1,Logan , Logan  Nr  State Dam  Abv,1,1,20.15,e133,e2.64,5.2,5,16010203,UT,SLC,4680,BEAR,22
lpda3,Lone Pine Dam,,1,1,,,,,,15020005,AZ,FGZ,1795,LITCOL,10
losc2,Los Pinos , La Boca,1,1,20.15,51,3.29,,7.8,14080101,CO,GJT,6144,SANJUAN,9
lpvc2,Los Pinos , Bayfield  Nr  Vallecito Res  Blo,1,1,20.16,31,1.44,5.5,4.8,14080101,CO,GJT,7415,SANJUAN,8
lccc2,Lost Canyon Ck , Dolores  Nr,1,1,20.15,0,1.71,7.4,5.9,14030002,CO,GJT,7030,DOL,3
crdu1,Lost Ck , Croyden  Nr,1,1,20.15,9,1.22,2.5,2.4,16020101,UT,SLC,5820,WEBER,10
mnrc2,Mancos , Mancos  Nr,1,1,20.15,4,3.43,6,5,14080107,CO,GJT,7235,SANJUAN,24
mrtc2,Mancos , Towaoc  Nr,1,1,20.16,6,1.74,,10.5,14080107,CO,GJT,5056,SANJUAN,25
maau1,Manti Ck , Manti  Nr  Dugway Ck  Blo,1,1,20.15,,,,4.9,16030004,UT,SLC,6500,SEV_H,10
zmca3,Martinez Creek,,1,1,20.13,0,2.83,,6,15070103,AZ,FGZ,2370,HASSCENT,3
mcec2,Mcelmo Ck , Co,1,1,20.15,26,2.78,,7.5,14080202,CO,GJT,4890,SANJUAN,27
mclu1,Mcleod Ck , Park City  Nr,1,1,20.15,e9,e6.27,8.9,8.1,16020102,UT,SLC,6590,WEBER,11
mcfa3,Mcmicken Floodway,,1,1,20.13,0,0.25,,13,15070102,AZ,PSR,1335,AGUAFRIA,23
mven2,Meadow Valley Wash , Eagle Canyon,1,1,20.15,3,4.54,,8,15010013,NV,VEF,5670,MUDLV,1
mvrn2,Meadow Valley Wash , Rox  Nr,1,1,,,,,23.5,15010013,NV,VEF,1855,MUDLV,7
mvyn2,Meadow Valley Wash , Caliente  Nr,1,1,20.15,5,9.83,,15.8,15010013,NV,VEF,4200,MUDLV,6
mcju1,Mill Ck , 460 West,1,1,20.15,16,,,,16020204,UT,SLC,4238,SIXCKS,8
milu1,Mill Ck , Salt Lake City  Nr,1,1,20.16,6,,2.9,2.8,16020204,UT,SLC,5050,SIXCKS,7
mifu1,Miller Flat Reservoir,,1,1,20.12,0,,,,14060009,UT,SLC,9329,SANRAFDD,3
moea3,Moenkopi Wash , Moenkopi  At,1,1,20.15,0,14.93,25,25.5,15020018,AZ,FGZ,4610,LITCOL,26
